Time	Node	Type	Packets	
1	Consumer1	CacheHits	0
1	Consumer1	CacheMisses	18
1	Node1	CacheHits	4
1	Node1	CacheMisses	31
1	Node2	CacheHits	1
1	Node2	CacheMisses	21
1	Node3	CacheHits	0
1	Node3	CacheMisses	22
1	Node4	CacheHits	1
1	Node4	CacheMisses	21
1	Node5	CacheHits	1
1	Node5	CacheMisses	34
1	Node6	CacheHits	6
1	Node6	CacheMisses	53
1	Node7	CacheHits	0
1	Node7	CacheMisses	31
1	Node8	CacheHits	5
1	Node8	CacheMisses	50
1	Node9	CacheHits	2
1	Node9	CacheMisses	40
1	Node10	CacheHits	3
1	Node10	CacheMisses	56
1	Node11	CacheHits	5
1	Node11	CacheMisses	44
1	Node12	CacheHits	2
1	Node12	CacheMisses	35
1	Node13	CacheHits	0
1	Node13	CacheMisses	47
1	Node14	CacheHits	0
1	Node14	CacheMisses	31
1	Node15	CacheHits	0
1	Node15	CacheMisses	22
1	Node16	CacheHits	0
1	Node16	CacheMisses	21
1	Node17	CacheHits	1
1	Node17	CacheMisses	36
1	Node18	CacheHits	2
1	Node18	CacheMisses	35
1	Node19	CacheHits	3
1	Node19	CacheMisses	30
1	Node20	CacheHits	0
1	Node20	CacheMisses	12
1	Node21	CacheHits	0
1	Node21	CacheMisses	20
1	Node22	CacheHits	0
1	Node22	CacheMisses	9
1	Node23	CacheHits	0
1	Node23	CacheMisses	23
1	Node24	CacheHits	1
1	Node24	CacheMisses	18
1	Producer1	CacheHits	0
1	Producer1	CacheMisses	16
1	F1a	CacheHits	0
1	F1a	CacheMisses	20
1	F1b	CacheHits	0
1	F1b	CacheMisses	24
1	F1c	CacheHits	0
1	F1c	CacheMisses	17
1	F2a	CacheHits	0
1	F2a	CacheMisses	24
1	F2b	CacheHits	0
1	F2b	CacheMisses	24
1	F2c	CacheHits	0
1	F2c	CacheMisses	20
1	F3a	CacheHits	0
1	F3a	CacheMisses	23
1	F3b	CacheHits	0
1	F3b	CacheMisses	20
1	F3c	CacheHits	0
1	F3c	CacheMisses	20
1	F4a	CacheHits	0
1	F4a	CacheMisses	20
1	F4b	CacheHits	0
1	F4b	CacheMisses	14
1	F4c	CacheHits	0
1	F4c	CacheMisses	16
1	F5a	CacheHits	0
1	F5a	CacheMisses	15
1	F5b	CacheHits	0
1	F5b	CacheMisses	13
1	F5c	CacheHits	0
1	F5c	CacheMisses	12
1	Consumer2	CacheHits	0
1	Consumer2	CacheMisses	24
1	Consumer3	CacheHits	0
1	Consumer3	CacheMisses	20
1	Consumer4	CacheHits	0
1	Consumer4	CacheMisses	24
1	Producer2	CacheHits	0
1	Producer2	CacheMisses	20
1	Producer3	CacheHits	0
1	Producer3	CacheMisses	14
1	Producer4	CacheHits	0
1	Producer4	CacheMisses	19
2	Consumer1	CacheHits	0
2	Consumer1	CacheMisses	23
2	Node1	CacheHits	1
2	Node1	CacheMisses	15
2	Node2	CacheHits	0
2	Node2	CacheMisses	3
2	Node3	CacheHits	0
2	Node3	CacheMisses	9
2	Node4	CacheHits	4
2	Node4	CacheMisses	10
2	Node5	CacheHits	8
2	Node5	CacheMisses	19
2	Node6	CacheHits	11
2	Node6	CacheMisses	22
2	Node7	CacheHits	1
2	Node7	CacheMisses	15
2	Node8	CacheHits	22
2	Node8	CacheMisses	22
2	Node9	CacheHits	4
2	Node9	CacheMisses	21
2	Node10	CacheHits	3
2	Node10	CacheMisses	25
2	Node11	CacheHits	7
2	Node11	CacheMisses	28
2	Node12	CacheHits	1
2	Node12	CacheMisses	25
2	Node13	CacheHits	1
2	Node13	CacheMisses	24
2	Node14	CacheHits	0
2	Node14	CacheMisses	12
2	Node15	CacheHits	1
2	Node15	CacheMisses	17
2	Node16	CacheHits	2
2	Node16	CacheMisses	17
2	Node17	CacheHits	2
2	Node17	CacheMisses	14
2	Node18	CacheHits	16
2	Node18	CacheMisses	12
2	Node19	CacheHits	2
2	Node19	CacheMisses	16
2	Node20	CacheHits	0
2	Node20	CacheMisses	11
2	Node21	CacheHits	2
2	Node21	CacheMisses	12
2	Node22	CacheHits	0
2	Node22	CacheMisses	3
2	Node23	CacheHits	1
2	Node23	CacheMisses	10
2	Node24	CacheHits	15
2	Node24	CacheMisses	8
2	Producer1	CacheHits	0
2	Producer1	CacheMisses	6
2	F1a	CacheHits	0
2	F1a	CacheMisses	6
2	F1b	CacheHits	0
2	F1b	CacheMisses	10
2	F1c	CacheHits	0
2	F1c	CacheMisses	15
2	F2a	CacheHits	0
2	F2a	CacheMisses	10
2	F2b	CacheHits	0
2	F2b	CacheMisses	15
2	F2c	CacheHits	0
2	F2c	CacheMisses	11
2	F3a	CacheHits	0
2	F3a	CacheMisses	10
2	F3b	CacheHits	0
2	F3b	CacheMisses	12
2	F3c	CacheHits	0
2	F3c	CacheMisses	14
2	F4a	CacheHits	0
2	F4a	CacheMisses	6
2	F4b	CacheHits	0
2	F4b	CacheMisses	6
2	F4c	CacheHits	0
2	F4c	CacheMisses	8
2	F5a	CacheHits	0
2	F5a	CacheMisses	3
2	F5b	CacheHits	0
2	F5b	CacheMisses	8
2	F5c	CacheHits	0
2	F5c	CacheMisses	10
2	Consumer2	CacheHits	0
2	Consumer2	CacheMisses	27
2	Consumer3	CacheHits	0
2	Consumer3	CacheMisses	23
2	Consumer4	CacheHits	0
2	Consumer4	CacheMisses	22
2	Producer2	CacheHits	0
2	Producer2	CacheMisses	9
2	Producer3	CacheHits	0
2	Producer3	CacheMisses	11
2	Producer4	CacheHits	0
2	Producer4	CacheMisses	5
3	Consumer1	CacheHits	0
3	Consumer1	CacheMisses	8
3	Node1	CacheHits	1
3	Node1	CacheMisses	9
3	Node2	CacheHits	0
3	Node2	CacheMisses	5
3	Node3	CacheHits	2
3	Node3	CacheMisses	9
3	Node4	CacheHits	0
3	Node4	CacheMisses	2
3	Node5	CacheHits	8
3	Node5	CacheMisses	1
3	Node6	CacheHits	4
3	Node6	CacheMisses	14
3	Node7	CacheHits	1
3	Node7	CacheMisses	9
3	Node8	CacheHits	10
3	Node8	CacheMisses	2
3	Node9	CacheHits	1
3	Node9	CacheMisses	7
3	Node10	CacheHits	2
3	Node10	CacheMisses	4
3	Node11	CacheHits	4
3	Node11	CacheMisses	9
3	Node12	CacheHits	3
3	Node12	CacheMisses	5
3	Node13	CacheHits	2
3	Node13	CacheMisses	5
3	Node14	CacheHits	1
3	Node14	CacheMisses	6
3	Node15	CacheHits	1
3	Node15	CacheMisses	7
3	Node16	CacheHits	0
3	Node16	CacheMisses	5
3	Node17	CacheHits	0
3	Node17	CacheMisses	5
3	Node18	CacheHits	8
3	Node18	CacheMisses	7
3	Node19	CacheHits	2
3	Node19	CacheMisses	4
3	Node20	CacheHits	0
3	Node20	CacheMisses	8
3	Node21	CacheHits	0
3	Node21	CacheMisses	6
3	Node22	CacheHits	0
3	Node22	CacheMisses	4
3	Node23	CacheHits	0
3	Node23	CacheMisses	2
3	Node24	CacheHits	8
3	Node24	CacheMisses	1
3	Producer1	CacheHits	0
3	Producer1	CacheMisses	5
3	F1a	CacheHits	0
3	F1a	CacheMisses	7
3	F1b	CacheHits	0
3	F1b	CacheMisses	5
3	F1c	CacheHits	0
3	F1c	CacheMisses	4
3	F2a	CacheHits	0
3	F2a	CacheMisses	9
3	F2b	CacheHits	0
3	F2b	CacheMisses	3
3	F2c	CacheHits	0
3	F2c	CacheMisses	3
3	F3a	CacheHits	0
3	F3a	CacheMisses	2
3	F3b	CacheHits	0
3	F3b	CacheMisses	5
3	F3c	CacheHits	0
3	F3c	CacheMisses	3
3	F4a	CacheHits	0
3	F4a	CacheMisses	2
3	F4b	CacheHits	0
3	F4b	CacheMisses	3
3	F4c	CacheHits	0
3	F4c	CacheMisses	2
3	F5a	CacheHits	0
3	F5a	CacheMisses	3
3	F5b	CacheHits	0
